year inflation
1960 1.67659912611288
1961 3.98562050634916
1962 2.8708853146098
1963 5.93950905922401
1964 4.03420453764313
1965 3.0690706617574
1966 5.45372692773338
1967 3.81813815731006
1968 4.31765612971037
1969 6.32668144851307
1970 5.17127612015708
1971 9.52167078004843
1972 7.52511790034727
1973 12.1281464590342
1974 22.7040816226158
1975 14.2896742946894
1976 10.1746301165654
1977 12.94441387237
1978 13.098138583854
1979 10.1171908690016
1980 11.9092893836134
1981 14.0479686718868
1982 16.2844880461285
1983 48.4182220804491
1984 31.2195815120372
1985 27.9936107429225
1986 23.0302261142618
1987 29.5039972488395
1988 58.2162865413936
1989 75.6481901026387
1990 48.5191129963729
1991 48.718080675219
1992 54.6078215093596
1993 44.9550537592164
1994 27.3108817940495
1995 22.9341344145802
1996 24.4114592150674
1997 30.6575675722173
1998 36.0984331623886
1999 52.2420051858224
2000 96.0963756926097
2001 37.6767454518094
2002 12.4835980082095
2003 7.92936487461554
2004 2.74323198926706
2005 2.16827701183722
2006 3.29874846258218
2007 2.2761847800212
2008 8.40009593987462
2009 5.15996829181046
2010 3.55437734567846
2011 4.47453265795836
2012 5.1017218095867
2013 2.72177577710365
2014 3.58922016616669
2015 3.96664623255354
2016 1.72826463324535
2017 0.417335588666803
2018 -0.224103246005465
